Year,Month,Male_Death,Male_ASMR,Female_Death,Female_ASMR,Young_Death,Young_ASMR,Middle_Death,Middle_ASMR,Old_Death,Old_ASMR,Hispanic_Death,Hispanic_ASMR,White_Death,White_ASMR,Black_Death,Black_ASMR,Asian_Death,Asian_ASMR,AI_Death,AI_ASMR
,December,63877,72.26113138,64407,50.09064565,2918,3.542704776,21948,26.00326795,103418,242.823028,7849,49.20371803,101858,59.45420746,15004,77.90606094,2913,36.80037891,660,57.87009377
2013,January,70122,77.48490642,73263,55.68207701,2967,3.599837745,23043,27.06598258,117375,268.7654389,8932,53.48024097,113921,65.31664023,16299,82.28507858,3479,41.21779949,754,63.63664781
,February,58858,64.81185627,60620,46.24667695,2711,3.286938296,20023,23.51792604,96744,221.489121,7499,44.78758413,94442,54.27124111,13959,70.23753682,2946,34.95434216,632,53.26995056
,March,62472,68.71181431,64034,48.8854546,2872,3.479586026,21335,25.05890826,102299,234.1737711,7874,46.83624008,100073,57.49631032,14883,74.60830764,3062,36.18660973,614,52.77957927
,April,57699,63.2548726,57558,44.0363504,2764,3.347930604,19898,23.36507858,92595,211.9725152,7208,42.36927711,91074,52.41733969,13584,68.15676724,2789,32.91868585,602,51.58019932
,May,56492,61.91513443,55981,42.89732287,2702,3.276806785,19660,23.11268365,90111,206.186444,7069,41.82379742,88691,51.0865585,13345,66.83967392,2721,31.74591522,647,53.25735026
,June,53276,58.25708342,52842,40.46194387,2563,3.110473129,19009,22.32655735,84546,193.4322387,6740,39.77466785,83527,48.11567828,12684,63.47194003,2527,29.38449753,640,53.6141298
,July,54423,59.44500446,53848,41.30175641,2756,3.34247001,19575,22.98582703,85940,196.5962384,7072,41.61212197,84798,48.89159675,13209,66.1671735,2585,30.06327274,607,50.83616509
,August,53894,58.9458165,53921,41.31162275,2701,3.274737818,19149,22.48790879,85965,196.7110337,6924,41.04762248,84834,48.88699456,12919,64.7018723,2532,29.31712873,606,50.90259242
,September,52576,57.57602524,52682,40.35517296,2647,3.210106815,18487,21.69656818,84124,192.4587514,6711,39.75317426,82719,47.62673454,12721,63.49716471,2509,29.27336733,598,50.93961522
,October,56430,61.83194928,56503,43.22913483,2727,3.308864056,19582,22.99715755,90624,207.3020605,7201,42.53333662,89068,51.25047195,13476,67.37469517,2579,30.17751639,609,52.64891815
,November,57195,62.62299521,57087,43.70968114,2687,3.26077164,19993,23.46906717,91602,209.5568501,7421,44.05349397,89779,51.67009729,13725,68.66282288,2719,31.96205763,638,53.51885233
,December,63324,69.20189108,62113,47.5890891,3009,3.647246924,22581,26.50384634,99847,228.3851465,8307,49.04807124,98407,56.69264295,15044,75.19856325,2997,35.06913658,682,59.10669978
2014,January,67351,71.68938267,65934,49.80564305,3423,4.144134431,24355,28.25627195,105507,235.9345801,8996,49.85407794,104382,59.48449458,15918,76.75117991,3203,34.97599952,786,63.4633638
,February,58953,62.90906165,56825,42.85232815,2796,3.384189786,20603,23.89876433,92379,206.6035212,7537,41.76869167,90977,51.76675499,13743,66.41682393,2872,31.43976046,649,51.80098564
,March,62232,66.45433481,62164,46.79902915,2945,3.568785728,21737,25.2255502,99714,222.9794755,8068,44.80855475,97904,55.66590872,14706,71.28354881,3011,32.82424097,707,56.82835557
,April,58537,62.51497946,57905,43.57309831,2718,3.288809842,20207,23.43013396,93517,209.0758108,7459,41.36831132,91773,52.1380373,13845,67.14057491,2731,29.72809703,634,50.27421272
,May,58178,62.05065549,58053,43.70840102,2814,3.405632937,20292,23.52630379,93125,208.2021338,7523,41.90039242,91627,52.08338576,13587,65.50642209,2839,30.9008482,655,52.7967562
,June,54321,57.90750232,53921,40.66557717,2707,3.272469314,19217,22.29884525,86318,193.0268259,7149,39.43446435,84812,48.26603767,13041,62.99710818,2589,28.15387609,651,53.12476806
,July,55650,59.29164728,54832,41.32759259,2710,3.277885172,19746,22.90587951,88026,196.8142804,7328,40.66490853,86594,49.29944669,13217,64.00740241,2697,29.43782674,646,51.52651021
,August,54638,58.20068203,54357,40.95203023,2675,3.235147396,19301,22.38780756,87019,194.4664769,7269,40.42054108,85081,48.38966545,13328,64.61036015,2670,29.03985054,647,51.34571849
,September,54227,57.8835231,53929,40.60373526,2599,3.139356112,18864,21.87662737,86693,193.7779142,7170,39.78942742,84669,48.12404568,13086,63.31042367,2613,28.65415327,618,50.45615251
,October,58188,62.15450285,57387,43.21186946,2734,3.308032172,20039,23.22317777,92802,207.5102297,7566,42.03482284,90548,51.44857671,13922,67.60046763,2839,30.82439601,700,56.25445084
,November,59895,63.9824789,59112,44.51108367,2976,3.596465937,20559,23.83434184,95472,213.4617251,8007,44.552451,93179,52.9673169,14248,69.20521716,2917,31.69363105,656,53.32966687
,December,66190,70.88591535,66274,49.79482413,3057,3.697200924,22121,25.61742041,107286,239.8433096,8943,50.17195229,103907,58.88931195,15690,76.27675654,3158,34.54620697,766,61.50858598
2015,January,72088,75.47829078,73243,53.98024422,3083,3.721574914,23741,27.20781804,118507,259.237286,9948,52.4992844,114353,63.98894439,16513,77.91807491,3705,38.04144084,812,62.92048221
,February,62003,64.69489643,62387,46.04878842,2724,3.295742592,20656,23.64209943,101010,220.8154354,8319,43.91869515,97349,54.51295462,14960,70.53430636,3062,31.46023401,700,53.54883411
,March,65971,68.81731461,66185,48.89258744,3107,3.754398684,22271,25.49327044,106778,233.2616466,8814,46.50584064,103775,58.14843425,15538,73.00134552,3209,32.78148345,820,64.51189353
,April,60751,63.23144032,60674,44.86435648,2786,3.363782896,20757,23.77133667,97882,213.8339259,8167,43.06582802,95283,53.42352137,14229,66.80341864,3029,30.80183011,717,55.03609918
,May,60270,62.6137136,59362,43.96231375,2923,3.53056313,21130,24.20714377,95579,208.7479956,8253,43.19208689,93478,52.49850534,14058,65.89634554,3095,31.31323196,748,56.54757933
,June,56919,59.14248951,55440,41.10177954,2743,3.31489249,20062,22.98105731,89554,195.5596726,7577,39.41188548,87763,49.31973184,13382,62.5980831,2979,30.52337414,658,50.56744022
,July,58178,60.38243977,57505,42.6526785,2915,3.521307224,20499,23.50389474,92269,201.478589,7934,41.3266823,90130,50.65307441,14087,65.94118609,2842,29.04672504,690,53.17482967
,August,57450,59.61275598,55946,41.46062253,2813,3.397854458,20249,23.1950368,90334,197.2389791,7996,41.73121225,87919,49.40257664,13886,65.14487288,2951,29.9553131,644,48.96718245
,September,56052,58.20668394,55162,40.88826249,2677,3.232582544,19647,22.50402499,88890,194.0868747,7782,40.88767791,86578,48.62011467,13355,62.62163163,2820,28.63185968,679,53.22994965
,October,60155,62.46385206,59160,43.849529,2941,3.553326251,20841,23.85592998,95533,208.5526575,8190,42.77212549,93063,52.22813649,14518,67.95087919,2871,29.21157669,673,50.63963179
,November,59915,62.27168188,58652,43.4617674,2724,3.28748917,20715,23.69360589,95128,207.7480536,8146,42.80296304,92269,51.74050366,14400,67.66083172,3039,30.98532745,713,55.71185632
,December,64236,66.76053787,62506,46.28420603,3017,3.646243104,21912,25.05806716,101813,222.2245274,9012,47.37219292,98534,55.242675,15089,70.69505781,3363,34.31012447,744,56.89461313
2016,January,68194,69.52257318,66462,48.43665084,3093,3.752648913,22944,26.09648423,108619,232.4118911,9412,47.45787036,104681,58.03850101,16228,74.22704187,3589,35.01268833,746,55.5824087
,February,63902,64.98397848,62355,45.51987714,2960,3.599609068,22022,25.04054954,101275,216.5530992,8968,44.88769961,97878,54.29207361,15295,69.78332644,3363,32.60630862,753,54.81174224
,March,66895,67.99424954,65559,47.82654848,3088,3.746595954,23232,26.43066777,106134,226.753003,9119,45.58958681,103132,57.18268942,15991,72.70677508,3431,33.49058332,781,58.05614643
,April,62078,63.04730386,60461,44.09238472,2939,3.563765098,21428,24.34212954,98172,209.7880821,8388,42.00952228,95618,53.02621243,14555,66.00634944,3249,31.39352343,729,54.1545337
,May,60911,61.83172175,59396,43.32194581,2980,3.609414357,20968,23.83102787,96359,205.8559975,8298,41.3384736,93661,51.92186767,14418,65.53850255,3180,30.73082981,750,54.75040408
,June,57938,58.73410468,55654,40.61076385,2842,3.439356933,20070,22.84496075,90680,193.6506684,8156,40.7274763,88185,48.95128076,13684,62.11651675,2885,27.90870333,682,49.6800478
,July,58863,59.67214401,56894,41.62636928,3006,3.635999616,20742,23.60119751,92009,196.5460717,8057,40.08789569,89571,49.77525075,14455,65.84612526,2993,28.74230409,681,49.49011058
,August,59083,59.84586402,56819,41.50787936,2900,3.518612709,20684,23.53245895,92318,197.2269818,8087,40.45418624,89725,49.84979914,14355,65.34800992,2987,28.85888847,748,56.03223803
,September,57365,58.27526733,56145,40.99605975,2839,3.440926478,20018,22.7721946,90653,193.657342,7842,39.14192824,87945,48.81930941,14065,64.09692625,2927,28.42316298,731,53.44706799
,October,62097,63.12568882,59817,43.68181296,3037,3.680368853,21116,24.04947837,97761,208.850532,8649,43.09488562,94224,52.26356052,15106,68.80147781,3197,30.89778145,738,53.76659352
,November,62297,63.3467115,60506,44.11370985,2901,3.513520101,21234,24.13372182,98668,210.8382333,8519,42.70184184,95341,52.88062116,15082,68.76607929,3157,30.66154127,704,52.04265298
,December,69456,70.59304181,66856,48.77199073,3263,3.945076901,23386,26.56781341,109663,234.2539636,9548,47.79498814,105787,58.61440184,16605,75.61712929,3556,34.58396805,816,60.41152977
2017,January,73115,72.57397575,71420,51.01499297,3250,3.902861452,23912,26.97137184,117373,244.707062,10336,49.10005721,112359,61.33729227,16941,74.79534971,4002,36.53223903,897,64.69515158
,February,65057,64.5987157,63633,45.51558297,2938,3.513795014,21497,24.27192555,104255,217.3640882,9073,43.17247598,100104,54.70248833,15156,66.79932145,3609,32.89562271,748,52.75125386
,March,69731,69.1878759,68177,48.794786,3173,3.812256545,23401,26.38941965,111334,232.0761922,9441,44.77352109,107190,58.56867891,16767,73.85222491,3680,33.56683155,830,58.63952425
,April,63371,62.78801836,62013,44.4274922,3031,3.646347985,21467,24.23803284,100886,210.1405239,8870,41.9195363,97067,53.06305033,15234,67.09314125,3429,31.14406436,784,55.68573996
,May,63375,62.55524386,60782,43.62198858,3015,3.614154509,21727,24.52205576,99415,207.0347674,8904,41.97933685,96005,52.52504421,15190,66.76421618,3309,30.06769451,749,52.76582287
,June,60300,59.54011544,57110,41.00523355,2950,3.534981707,20910,23.59768044,93550,194.7231186,8469,40.01587922,90527,49.57645048,14540,63.94871648,3162,28.65629178,712,49.5804964
,July,60607,59.81563466,57625,41.376355,3053,3.663802344,21107,23.82172935,94072,195.830492,8531,40.17982299,91074,49.90467156,14641,64.41760485,3304,29.88912079,682,47.8775215
,August,60491,59.75330915,57520,41.26120427,3056,3.661091438,20750,23.45025697,94205,196.056828,8415,39.46599588,90954,49.79836115,14665,64.75540989,3245,29.41208873,732,52.2530273
,September,60101,59.38087422,57435,41.1727446,2903,3.48498007,20577,23.23988467,94056,195.7641458,8391,39.50391293,90718,49.62656201,14465,63.7873334,3186,28.85955225,776,55.23017211
,October,63702,62.95539037,60841,43.60737654,3003,3.599946029,21355,24.08053545,100185,208.5985683,8988,42.32283559,96097,52.47777801,15348,67.65471244,3360,30.42458312,750,53.12806917
,November,64562,63.80537887,61494,44.07940603,3066,3.684349269,21361,24.05640342,101629,211.6074129,9188,43.42379854,96954,52.91842117,15747,69.51395101,3381,30.66098413,786,56.12370428
,December,72554,71.80638052,70386,50.41343302,3301,3.960970719,24139,27.21467683,115500,240.3953369,10619,50.36115629,109927,59.93957973,17454,76.83611406,4039,36.75335848,901,63.88542183
2018,January,80788,78.24094203,78701,55.22517672,3508,4.172811465,26025,29.3102115,129956,264.2490766,11610,52.95881609,123098,66.14424014,19342,83.08038639,4499,39.09946576,940,63.85596972
,February,66534,64.28384809,64309,45.2201395,2953,3.523239081,21911,24.69639046,105979,215.2960742,9488,43.11372914,101113,54.40578322,15941,68.45200947,3532,30.69689503,769,51.64506227
,March,70484,68.10630466,67430,47.4432893,3225,3.838627781,23279,26.26744937,111410,226.4454281,9934,45.06867896,106411,57.29836876,16680,71.58971379,3984,34.49765314,905,60.91866165
,April,65621,63.34505817,62604,44.0962863,2969,3.536109585,21618,24.40761799,103638,210.4565412,9226,41.84546409,99050,53.28431218,15599,66.79868072,3587,31.04054342,763,51.22593042
,May,64383,62.05201654,60523,42.65110003,3106,3.695550818,21699,24.45193497,100101,203.1201678,9075,40.89025029,96317,51.90895639,15261,65.20369737,3446,29.73713917,807,54.04358304
,June,61337,59.0962259,57480,40.53136028,3032,3.608813092,20910,23.60628314,94875,192.4289089,8885,39.88523653,91088,49.12357583,14788,63.09524086,3333,28.66518801,723,48.79292753
,July,62630,60.2713764,58334,41.15737656,3073,3.654119365,21246,23.9804655,96645,196.0811342,8850,39.94677062,92635,49.98617193,15348,65.5801929,3347,28.87054437,784,52.70027414
,August,62103,59.74193229,58218,41.11544489,3052,3.641735908,21101,23.78568436,96168,195.0956708,8932,40.28464164,92101,49.69428736,15260,65.21367606,3287,28.41378758,741,48.65763026
,September,60387,58.12679243,56702,40.01269712,2953,3.513536731,20162,22.77511644,93974,190.624158,8507,38.38697296,89709,48.36909533,14874,63.50018105,3260,28.16915688,739,49.95199419
,October,65113,62.79599141,61813,43.54916911,3129,3.724972374,21627,24.34965061,102170,207.3829935,9099,41.08123017,97782,52.64995885,15779,67.46642935,3482,30.03880487,784,51.97259205
,November,66181,63.74004115,62525,44.06143737,3110,3.705297991,21919,24.66531102,103677,210.3809499,9314,42.1383282,98774,53.12861428,16057,68.68840432,3746,32.46354188,815,54.94356644
,December,71024,68.42210599,67178,47.25175355,3167,3.763883259,23229,26.1693359,111806,226.9723611,10200,46.0544066,105925,56.93208103,17241,73.96417113,3945,34.06144767,891,59.65843372
2019,January,74307,70.06981718,70054,48.61360923,3309,3.909204726,24273,27.36776611,116779,231.7193563,10661,46.55911993,110673,58.75793549,17996,74.82687759,4119,33.86823213,912,59.82367904
,February,67330,63.44207363,63066,43.73460097,3004,3.54819317,22013,24.81443448,105379,208.9391607,9644,41.90870523,100018,53.122446,15957,66.23497758,3947,32.41840002,830,53.39683605
,March,73360,69.13122833,68976,47.83372091,3392,4.007912626,23691,26.73368544,115253,228.5780311,10496,45.65917278,109404,58.08882908,17462,72.74978541,4097,33.67779368,877,57.07030613
,April,67305,63.43760036,63441,44.01638033,3183,3.761770923,21925,24.73912681,105638,209.5187016,9565,41.68495788,100705,53.53218286,15968,66.35704518,3665,30.03933615,843,54.82542848
,May,67402,63.48017149,62585,43.45196985,3166,3.734084292,21873,24.68612676,104948,208.0807982,9642,42.15397568,99857,53.05203189,16085,66.92668789,3607,29.63020721,796,51.44495049
,June,63547,59.71377075,59414,41.23418296,2948,3.482614337,20871,23.5492027,99142,196.4314379,9068,39.40431023,94415,50.16350325,15311,63.67273624,3455,28.23554355,712,46.33895146
,July,64494,60.64473528,59728,41.52005427,3156,3.729732951,21488,24.30934958,99578,197.2974939,9311,40.29532657,95052,50.61716118,15653,65.06481401,3450,28.24822523,756,49.1183878
,August,63704,59.91722448,58896,40.9503374,3079,3.639081451,20873,23.55525402,98648,195.4269647,9184,39.6299692,94021,50.00739061,15266,63.4896398,3379,27.5872179,750,49.15213212
,September,62200,58.52638677,58018,40.25213523,2915,3.447635382,20402,23.01917848,96901,192.104438,8948,38.84308176,92053,48.94108735,15194,63.18215521,3320,27.15997705,703,45.87717799
,October,66559,62.65312096,62835,43.59218477,3150,3.715405281,21474,24.21553406,104770,207.7118225,9596,41.69622013,99133,52.63510106,16181,67.29145285,3690,30.37048124,794,51.21043522
,November,67866,63.83767219,63743,44.23916352,3166,3.738289569,21945,24.75339162,106498,210.9920911,9694,42.11140645,100523,53.3483739,16728,69.46241591,3832,31.43525541,832,53.92849782
,December,72792,68.56655837,69128,47.96506041,3479,4.10914979,23698,26.71756663,114743,227.5634617,10652,46.1800435,108340,57.5470746,17880,74.52266506,4216,34.72749942,832,54.46365844
2020,January,75854,69.98675707,71398,48.83636805,3555,4.149417983,24385,27.55490933,119312,231.5793168,11358,47.35655212,112160,59.00528299,18360,74.37791953,4439,34.56468253,935,58.57129716
,February,70493,65.06342322,66087,45.20549828,3254,3.79396167,22831,25.77040071,110495,214.428063,10258,42.76326955,104100,54.75092705,17180,69.33272935,4184,32.71864331,858,53.88275231
,March,77338,71.33273326,71233,48.79290656,3679,4.300599675,25076,28.31395466,119816,232.5705572,11787,49.06206369,111073,58.47227373,20087,81.42156204,4692,36.63359409,932,58.51711576
,April,91011,83.87643443,83554,57.09972649,4298,5.022369622,28972,32.78391465,141295,274.2877529,17285,71.75862476,120866,63.59536063,28911,118.2562667,6467,50.32873064,1036,64.05861878
,May,78879,72.61162901,73324,50.26214673,4097,4.786623852,26658,30.24344601,121448,235.4252186,13404,55.05139589,110696,58.42741095,22220,90.00901828,4886,38.11707534,997,61.9835418
,June,71371,65.59800161,65254,44.9053797,3877,4.515526723,24862,28.24074099,107886,208.8704248,12323,50.42473356,100303,53.04513309,18845,75.88365687,4152,32.31888723,1002,62.21068971
,July,80019,73.36080961,71620,49.38970772,4538,5.298417014,27810,31.53590484,119291,230.6471357,16253,66.69330584,108450,57.31802182,21391,85.9290948,4443,34.50753724,1102,66.88908178
,August,78233,71.77429181,71414,49.15666186,4155,4.849301627,26846,30.4314231,118646,229.6143092,14415,58.89728104,109001,57.61191907,20714,83.45650017,4501,35.07995737,1016,62.98504584
,September,72974,67.05840349,66861,45.93564299,3748,4.384240429,24536,27.82376615,111551,215.8750942,11662,48.02332034,104563,55.17357045,18513,74.36053372,4092,31.87225375,1005,62.51714896
,October,78178,71.92365738,71724,49.21669591,3983,4.650152306,25814,29.22536623,120105,232.6195821,12044,49.45097913,113010,59.52362354,19336,78.06494207,4308,33.4954873,1204,74.26992843
,November,86895,79.99402834,77755,53.26066786,4066,4.747509823,27094,30.61808276,133490,258.6886571,14423,59.40850917,123321,64.73288592,20874,84.12701906,4778,37.09067707,1254,77.07604933
,December,106115,97.60942891,92755,63.47731416,4545,5.309756022,32952,37.23404113,161373,312.5322365,19922,81.72437153,145254,76.13878237,25338,102.3893096,6865,53.47469821,1491,92.22104552
2021,January,,98.08593242,,64.39814262,,5.827352112,,39.03248504,,312.868235,,88.23428039,,75.53866333,,108.3282853,,96.86248985,,96.76225282
,February,,75.5339689,,49.78178118,,4.804981909,,31.32163661,,238.5599552,,59.81707984,,59.42723555,,87.44661604,,70.25475713,,69.15830893
,March,,72.07778748,,48.6347677,,4.939776414,,30.66019828,,228.6442524,,52.2070373,,58.69080528,,80.6854336,,65.47029208,,64.11324315
,April,,68.50550797,,45.84010863,,4.885936547,,29.85874866,,214.39426,,45.88041934,,55.95339634,,78.58444075,,60.68343652,,58.94246676
,May,,67.22694859,,46.1664739,,4.786337782,,29.62201239,,181.5134599,,44.88867098,,55.94419616,,76.67963004,,59.3172678,,59.18606139
,June,,63.97262644,,43.65856997,,4.688956136,,27.81621616,,202.7623254,,41.62575287,,53.54695793,,70.67096606,,59.5898088,,59.71227335
,July,,66.46093324,,45.94064839,,4.87654425,,28.96034791,,212.2369853,,44.07372546,,55.71357003,,74.62291896,,63.14842863,,61.98947813
,August,,77.53841839,,52.0062518,,6.333677033,,35.47775199,,238.0804425,,54.02486926,,63.06734306,,90.15302161,,78.39501075,,76.42796668
,September,,78.07870866,,52.9400407,,6.452412019,,36.70756573,,239.3042655,,54.31607642,,64.34579371,,87.94489277,,80.17863259,,78.57821149
,October,,76.15142854,,52.26695458,,5.486582735,,33.56129047,,241.2842049,,50.49892756,,64.2113961,,79.82149314,,75.07537119,,75.85200731
,November,,74.86239109,,50.93637804,,4.83579778,,31.18549218,,240.5352663,,49.68957321,,62.82360393,,78.1763969,,74.14658861,,75.12508478
,December,,82.07238392,,55.93130603,,5.275798893,,34.36433565,,263.5698575,,54.3198773,,68.89957421,,85.68660915,,79.9266867,,78.31888499
